                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.746,                  6.575,                 2.5768,                 0.0034,                0.66667,                0.00332,                0.00119,                 2.8507,                 8.1308,                 3.1079,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                 2.6287,                 5.2944,                 2.6065,                0.02285,                0.83333,                0.02982,                0.00663,                 2.5187,                 7.2581,                 2.7623,             4.6709e-05,             4.6709e-05,             4.6709e-05
                      3,                 2.4268,                 4.2654,                 2.4512,                0.73193,                0.21988,                0.20445,                0.08823,                 2.0199,                 7.3185,                 2.4603,             7.2348e-05,             7.2348e-05,             7.2348e-05
                      4,                 2.0901,                 3.6332,                 2.1917,                0.77916,                0.31805,                0.29138,                0.15372,                 1.8894,                 7.0851,                   2.33,             9.3585e-05,             9.3585e-05,             9.3585e-05
                      5,                 2.1527,                 3.4049,                 2.2427,                0.73112,                    0.5,                0.54004,                0.29949,                 1.8982,                 8.0197,                 2.1823,             0.00011042,             0.00011042,             0.00011042
                      6,                 1.9906,                 3.9451,                 2.2427,                0.93884,                    0.5,                0.58491,                0.37361,                 1.7285,                 9.5566,                 2.0813,             0.00012286,             0.00012286,             0.00012286
                      7,                 1.7782,                 3.6556,                 2.1368,                0.44411,                0.58226,                   0.58,                 0.3217,                 1.7552,                 5.9175,                 2.2677,             0.00013089,             0.00013089,             0.00013089
                      8,                  1.775,                 3.3003,                 2.2194,                0.77545,                0.59247,                0.57277,                0.27782,                 1.8367,                 4.4669,                 2.3203,             0.00013453,             0.00013453,             0.00013453
                      9,                 1.8331,                 3.4258,                  2.243,                0.34669,                0.54167,                0.45317,                0.21142,                 1.8735,                  4.164,                 2.2752,             0.00013376,             0.00013376,             0.00013376
                     10,                  1.643,                 3.0872,                 2.0757,                0.74985,                0.37463,                0.33084,                0.14513,                 2.0444,                  3.997,                 2.3675,             0.00012859,             0.00012859,             0.00012859
                     11,                 1.7686,                  2.706,                 2.0551,                0.33666,                0.45833,                0.36803,                0.15379,                 2.1852,                 3.7257,                 2.4542,             0.00011902,             0.00011902,             0.00011902
                     12,                 1.8674,                 3.0915,                 2.1308,                0.49441,                0.51175,                0.53343,                0.22738,                 2.0316,                 3.3823,                 2.4211,             0.00010505,             0.00010505,             0.00010505
                     13,                 1.6061,                 2.7399,                 2.1075,                0.51705,                0.63527,                 0.5007,                0.22519,                 1.9354,                 3.2242,                 2.3347,             8.6684e-05,             8.6684e-05,             8.6684e-05
                     14,                 1.5929,                 2.8132,                 2.0129,                0.56097,                0.70833,                0.57881,                0.28724,                 1.9092,                 3.0657,                 2.3255,             6.3913e-05,             6.3913e-05,             6.3913e-05
                     15,                 1.5514,                  2.668,                 1.9125,                0.61476,                0.67195,                0.64419,                0.33917,                 1.8786,                 2.9707,                 2.3008,             3.6741e-05,             3.6741e-05,             3.6741e-05
